ID,Public Name,ERR,ERS,GPSC,GPSC__colour,GPSC_status__autocolour,CC__autocolour,In_Silico_ST__autocolour,MLST_profile_aroE_gdh_gki_recP_spi_xpt_ddl,In_Silico_Serotype,In_Silico_Serotype__colour,Pili,Pili__colour,pbp1a,pbp2b,pbp2x,AMO_MIC,AMO_Res,CFT_MIC,CFT_Res.Meningital.,CFT_Res.Non.meningital.,TAX_MIC,TAX_Res.Meningital.,TAX_Res.Non.meningital.,CFX_MIC,CFX_Res,MER_MIC,MER_Res,PEN_MIC,PEN_Res.Meningital.,PEN_Res.Non.meningital.,CHL_MIC,CHL_Res,CHL_Determinant,CLI_MIC,CLI_Res,CLI_Determinant,COT_MIC,COT_Res,COT_Determinant,DOX_MIC,DOX_Res,DOX_Determinant,ERY_MIC,ERY_Res,ERY_Determinant,ERY_CLI_Res,ERY_CLI_Determinant,FQ_Res,FQ_Determinant,KAN_Res,KAN_Determinant,LFX_MIC,LFX_Res,LFX_Determinant,RIF_MIC,RIF_Res,RIF_Determinant,SMX_Res,SMX_Determinant,TET_MIC,TET_Res,TET_Determinant,TMP_Res,TMP_Determinant,VAN_MIC,VAN_Res,VAN_Determinant,PILI1,PILI1_Determinant,PILI2,PILI2_Determinant,PEN-CHL-ERY-COT-TET,No_of_non_susceptible,MDR,MDR__colour,AMO_Res__colour,CFT_Res.Meningital.__colour,CFT_Res.Non.meningital.__colour,TAX_Res.Meningital.__colour,TAX_Res.Non.meningital.__colour,CFX_Res__colour,MER_Res__colour,PEN_Res.Meningital.__colour,PEN_Res.Non.meningital.__colour,CHL_Res__colour,CLI_Res__colour,COT_Res__colour,DOX_Res__colour,ERY_Res__colour,ERY_CLI_Res__colour,FQ_Res__colour,KAN_Res__colour,LFX_Res__colour,RIF_Res__colour,SMX_Res__colour,TET_Res__colour,TMP_Res__colour,VAN_Res__colour
24820_2#224,GPS_AR_3112,ERR2667605,ERS2552469,4,#0094df,Dominant,CC199,15181,506-13-14-4-6-4-14,19A,#43bbff,neg,#4dbc6b,0,29,11,0.12,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.12,R,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 178,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 178,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,R-S-S-I-S,2,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#225,GPS_AR_3113,ERR2667606,ERS2552470,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,2,#ff9766,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#226,GPS_AR_3114,ERR2667607,ERS2552471,6,#57a627,Dominant,CC156,370,7-11-10-1-6-3-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#227,GPS_AR_3115,ERR2667608,ERS2552472,95,#58c8a9,Intermediate,CC241,241,25-31-4-16-32-28-44,18A,#79db80,neg,#4dbc6b,2,0,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#228,GPS_AR_3117,ERR2667609,ERS2552473,31,#e18e31,Dominant,CC5784,304,13-8-13-5-17-4-8,1,#416800,2,#ff9766,23,4,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#229,GPS_AR_3123,ERR2667610,ERS2552474,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,2,#ff9766,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#230,GPS_AR_3125,ERR2667611,ERS2552475,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#231,GPS_AR_3127,ERR2667612,ERS2552476,6,#57a627,Dominant,CC156,162,7-11-10-1-6-8-14,14,#0156b8,1,#ffcf1a,45,0,63,0.25,S,1,I,S,0.5,S,S,> 2,R,0.12,S,1,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#233,GPS_AR_3135,ERR2667614,ERS2552478,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,2,#ff9766,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#234,GPS_AR_3144,ERR2667615,ERS2552479,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,neg,#4dbc6b,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 187,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 187,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#235,GPS_AR_3145,ERR2667616,ERS2552480,8,#8ea91e,Dominant,CC289,289,16-12-9-1-41-33-33,5,#0cc44f,neg,#4dbc6b,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#236,GPS_AR_3148,ERR2667617,ERS2552503,15,#bd2c9b,Dominant,CC191,191,8-9-2-1-6-1-17,7F,#c753d8,2,#ff9766,2,0,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#237,GPS_AR_3151,ERR2667618,ERS2552504,8,#8ea91e,Dominant,CC289,289,16-12-9-1-41-33-33,5,#0cc44f,neg,#4dbc6b,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#238,GPS_AR_3152,ERR2667619,ERS2552505,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#239,GPS_AR_3153,ERR2667620,ERS2552506,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#240,GPS_AR_3154,ERR2667621,ERS2552481,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,neg,#4dbc6b,0,4,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 187,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 187,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#241,GPS_AR_3155,ERR2667622,ERS2552482,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,neg,#4dbc6b,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 187,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 187,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#242,GPS_AR_3159,ERR2667623,ERS2552483,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,neg,#4dbc6b,0,4,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 187,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 187,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#243,GPS_AR_3160,ERR2667624,ERS2552484,16,#3d9945,Dominant,CC66,66,2-8-2-4-6-1-1,9N,#d1006a,neg,#4dbc6b,1,0,110,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#244,GPS_AR_3164,ERR2667625,ERS2552485,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,>= 1,R,mefA_10_AF376746; msrD_2_AF274302,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-R-R-S,3,Yes,#ff2722,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#245,GPS_AR_3167,ERR2667626,ERS2552486,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#246,GPS_AR_3168,ERR2667627,ERS2552487,18,#4cc48c,Dominant,CC15,15,1-5-4-5-5-3-8,14,#0156b8,neg,#4dbc6b,2,0,2,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,>= 8,R,catQ_1_M55620,<= 0.25,S,_,2,I,folP_AE007317 MULTIPLE at 178-180,>= 1,R,tetM_M85225,>= 1,R,mefA_10_AF376746,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,>= 4,R,tetM_M85225,S,_,<= 1,S,_,NEG,_,NEG,_,S-R-R-I-R,4,Yes,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#f797b1,#ff2722,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#ff2722,#0069ec,#0069ec
24820_2#247,GPS_AR_3169,ERR2667628,ERS2552488,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#248,GPS_AR_3172,ERR2667629,ERS2552489,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#249,GPS_AR_3173,ERR2667630,ERS2552490,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#250,GPS_AR_3177,ERR2667631,ERS2552491,2,#8da9ac,Dominant,CC615,615,10-31-4-1-6-4-94,1,#416800,2,#ff9766,0,4,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,POS,pitB_GU256423,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#260,GPS_AR_3197,ERR2667641,ERS2552501,8,#8ea91e,Dominant,CC289,289,16-12-9-1-41-33-33,5,#0cc44f,neg,#4dbc6b,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#261,GPS_AR_3199,ERR2667642,ERS2552502,8,#8ea91e,Dominant,CC289,15685,#N/A,5,#0cc44f,neg,#4dbc6b,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
